ticket_id,customer_name,subject,description,priority,created_at
CFPB-12351479,CFPB Consumer,Credit reporting or other personal consumer reports - Incorrect information on your report: Information belongs to someone else,"I have not supplied proof under the doctrine of estoppel by silence, XXXX XXXX XXXXXXXX XXXX XXXX XXXX  XXXX XXXX XXXX. I pressume that no proof of the alleged debt, nor therefore any such debt, in fact therefore exist.",low,2025-03-06
CFPB-4847443,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Incorrect information on your report: Account information incorrect","Pursuant to 15 USC 1681a ( 2 ) ( B ) any authorization or approval of a specific extension of credit directly or indirectly by the issuer of a credit card or similar device ; Should be excluded from a consumer report. The definition of a credit card under 15 USC 1681 is the same as it is under 15 USC 1602 ( l ) which is the term credit card means any card, plate, coupon, book or other credits device existing for the purpose of obtaining, money, property, labor, or services on credit Notice, congress said ANY card. The credit card is my social security card. This is the credit card I used to originate every consumer credit transaction. 

I, XXXX XXXX, never granted XXXX, XXXX, or XXXX written authorization or permission to furnish harmful and inaccurate information on my credit report.",medium,2021-10-26
CFPB-10459530,CFPB Consumer,Credit reporting or other personal consumer reports - Problem with a company's investigation into an existing problem: Their investigation did not fix an error on your report,"I have a goal of getting a house as soon as possible but the stuff on my credit report will really put me in trouble, been waiting for the credit bureaus response and its really making me feel XXXX since it seems that theyre not doing anything to resolve my issue. My name is XXXX XXXX and I am filing this complaint for falsely reporting misleading information. There is no third party involved, its me personally who is filling this complaint. Please review the uploaded letters.",low,2024-10-15
CFPB-16194215,CFPB Consumer,Debt collection - Written notification about debt: Notification didn't disclose it was an attempt to collect a debt,"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",medium,2025-09-26
CFPB-8976790,CFPB Consumer,Credit reporting or other personal consumer reports - Incorrect information on your report: Information belongs to someone else,"I believe FCRA 605B mandates the removal of any erroneous accounts from my credit report. Could you verify this? Several listed accounts are inaccurate in terms of reporting, including incorrect amounts and dates.",medium,2024-05-11
CFPB-3549369,CFPB Consumer,Debt collection - Attempts to collect debt not owed: Debt was result of identity theft,PLUS FOUR INC ( XXXX XXXX ) is a result of identity theft. I recently discovered through my new monitoring service this account being reported I made efforts to remove this account from my file as the amount of {$0.00} does not belong to me. This account was fraudulently opened through this company in XXXX of 2014 an has been reported to the FTC and authorities as Identity theft. I have submitted all of my information needed to resolve this matter in this complaint and through the FTC report attached and do not feel comfortable giving any further information in any way to any others at this time due to the further possibilities of identity theft.,medium,2020-02-29
CFPB-10944855,CFPB Consumer,Credit reporting or other personal consumer reports - Incorrect information on your report: Information belongs to someone else,"I am greatly concerned about the inclusion of this late payment on my account, as my payment history has consistently been punctual. This situation is causing me considerable distress, and I implore you to correct this mistake by promptly removing it from my account.",low,2024-11-27
CFPB-4273346,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Problem with a credit reporting company's investigation into an existing problem: Investigation took more than 30 days","I sent out letters to Equifax in regards to inaccurate account information and the accounts Metro 2 compliance fields. The investigation was only supposed to last 30 days since no additional information was provided. It's been over 60 days and the investigation is still going on. When I called, they started I would get results, and to date, I haven't received anything and it's still active.",medium,2021-04-05
CFPB-12339272,CFPB Consumer,Debt collection - Attempts to collect debt not owed: Debt was paid,"Your Account Dispute has been updated. 
The incorrect account with XXXX XXXX XXXX starts with XXXX has not been changed and will remain on your credit report. 

Source : Experian Date Submitted : XX/XX/year> Report Number : XXXX Account Number : XXXX Company : XXXX XXXX XXXX XXXX : XXXX XXXX XXXX XXXX, XXXX XXXX MN XXXX This account was added back after it has been proven paid in full, they removed it as a collection account But same day added it to my credit profile as an account with a debt owed",medium,2025-03-06
CFPB-4935585,CFPB Consumer,Debt collection - Threatened to contact someone or share information improperly: Talked to a third-party about your debt,"Portfolio Recovery Associates Inc unlawfully accessed my credit report, specifically XXXX, on XX/XX/21 without giving notification or receiving consent. I do not have a relationship with Portfolio Recovery Associates and never have. Accessing my credit or personal data is unlawful without consent and purpose under 15 USC and Consumer Law. 
My personal data has since been breached and I have been a victim of identity theft through bad debit purchases. A complaint with the FTC has also been filed.",medium,2021-11-22
CFPB-5857140,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Incorrect information on your report: Information belongs to someone else","To whom it may concern I have not been checking my credit. Recently as an account with your name addresses a different Social Security numbers. The following are fraud accounts name addresses thats on my credit report. Accounts : XXXXXXXX XXXX, XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Addresses : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX Phone numbers : XXXX",medium,2022-08-09
CFPB-4399176,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Problem with a credit reporting company's investigation into an existing problem: Was not notified of investigation status or results","ATTN Collections Dept I am submitting a complaint in reference to this company knowingly reporting inaccurate data. My credit profile is affected by these penalties, preventing my creditworthiness, due to these companies. I demand proof of the purchasing agreement? Valid Authorization/ proof of alleged debt. Reporting without valid proper disclosure requirements are in direct violation of my consumer rights. I legally requested a description of the details of the verification process used to verify this alleged account. Federal law requires you to respond in thirty ( 30 ) days to failure to comply with these federal regulations by the FTC U.S C41, et esq. I am maintaining a careful record on my communication with your company. Thank you, I look forward to resolving this expeditiously",medium,2021-05-22
CFPB-5314931,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Problem with a company's investigation into an existing issue: Their investigation did not fix an error on your report",Please take a look at the attached letters and ID docs for verification that it is XXXX XXXX XXXX filing this complaint. The stuff on my credit report is wrong.,low,2022-03-11
CFPB-8508130,CFPB Consumer,Credit reporting or other personal consumer reports - Problem with a company's investigation into an existing problem: Was not notified of investigation status or results,"I hope you're doing well. I've run into a bit of a problem. While going through my credit report, I noticed some things that don't seem quite right, and it appears my XXXX have been stolen XXXX. My nephew, who's studying XXXX XXXX, helped me out by finding a way to check if my XXXX emails were involved in this breach. To my surprise, it turns out that XXXX out of XXXX of my emails contain a lot of my XXXX and XXXX information. I want to emphasize that I'm not the one behind these accounts. It would mean a lot to me if you could assist in removing the following from my credit report. these are the inquiries : XXXX - XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX",low,2024-03-08
